p03_syllable_1_palufago_hit,pa,0.31, lu, 0.33, fa, 0.54, go, 0.18, NA, 0, f, 0.23, 
p03_syllable_1_palufasti_hit,pa,0.37, lu, 0.39, fas, 0.69, ti, 0.18, NA, 0, f, 0.29, 
p03_syllable_1_palufauro_hit,pa,0.35, lu, 0.37, fau, 0.73, ro, 0.19, NA, 0, f, 0.22, 
p03_syllable_1_palufauto_hit,pa,0.30, lu, 0.32, fau, 0.50, , 0.29, NA, 0, f, 0.21, 
p03_syllable_1_paluguato_hit,pa,0.30, lu, 0.47, gua, 0.42, , 0.24, NA, 0, g, 0.10, [g]
p03_syllable_1_palumaisto_hit,pa,0.39, lu, 0.32, mais, 0.73, to, 0.30, NA, 0, m, 0.27, 
p03_syllable_1_paluparo_hit,pa,0.24, lu, 0.33, pa, 0.57, ro, 0.18, NA, 0, p, 0.22, 
p03_syllable_1_palutarlo_hit,pa,0.36, lu, 0.28, tar, 0.59, lo, 0.25, NA, 0, t, 0.24, 
p03_syllable_1_palutrauco_hit,pa,0.27, lu, 0.37, trau, 0.61, co, 0.45, NA, 0, tr, 0.25, 
p03_syllable_1_payielo_hit,pa,0.23, yie, 0.56, lo, 0.27, NA, 0, NA, 0, y, 0.19, hard
p03_syllable_1_polafo_hit,po,0.21, la, 0.41, fo, 0.24, NA, 0, NA, 0, l, 0.15, 
p03_syllable_1_rausto_hit,raus,0.64, to, 0.41, NA, 0, NA, 0, NA, 0, r, 0.13, 
p03_syllable_1_ruyiola_hit,ru,0.29, yio, 0.57, la, 0.28, NA, 0, NA, 0, y, 0.22, 
p03_syllable_1_tuliafo_hit,tu,0.24, lia, 0.55, fo, 0.32, NA, 0, NA, 0, l, 0.15, 
