participant,exp,task,item,status,TextGridLabel,duration,sex
p03,carrier,2,heroe,hit,o,90.31,m
p03,carrier,2,heroe,hit,e,102.55,m
p03,carrier,2,isla,hit,a,95.87,m
p03,carrier,2,juguete,hit,e,105.75,m
p03,carrier,2,lapiz,hit,a,104.83,m
p03,carrier,2,lavadora,hit,o,148.88,m
p03,carrier,2,ley,hit,e,99.18,m
p03,carrier,2,ley,hit,i,89.93,m
p03,carrier,2,leyenda,hit,j,64.09,m
p03,carrier,2,leyenda,hit,e,81.13,m
p03,carrier,2,libra,hit,i,144.66,m
p03,carrier,2,lider,hit,i,122.39,m
p03,carrier,2,logro,hit,o,136.91,m
p03,carrier,2,luna,hit,a,106.91,m
p03,carrier,2,manzana,hit,a,110.86,m
p03,carrier,2,microfono,hit,o,89.27,m
p03,carrier,2,milla,hit,j,62.22,m
p03,carrier,2,milla,hit,a,77.66,m
p03,carrier,2,montoya,hit,j,52.99,m
p03,carrier,2,montoya,hit,a,91.53,m
p03,carrier,2,naranja,hit,a,82.68,m
p03,carrier,2,negocio,hit,o,149.6,m
p03,carrier,2,numeracion,hit,a,92,m
p03,carrier,2,olla,hit,j,64.41,m
p03,carrier,2,olla,hit,a,99.32,m
p03,carrier,2,oyendo,hit,j,62.36,m
p03,carrier,2,oyendo,hit,e,90.37,m
p03,carrier,2,palabra,hit,a,116,m
p03,carrier,2,paleta,hit,e,96.19,m
p03,carrier,2,pan,hit,a,152.47,m
p03,carrier,2,pantalon,hit,o,160.75,m
p03,carrier,2,patilludo,hit,j,70.57,m
p03,carrier,2,patilludo,hit,u,79.13,m
p03,carrier,2,perrito,hit,i,117.19,m
p03,carrier,2,piano,hit,i,91.53,m
p03,carrier,2,piano,hit,a,94.57,m
p03,carrier,2,pille,hit,j,44.98,m
p03,carrier,2,pille,hit,e,86.71,m
p03,carrier,2,pistola,hit,o,98.11,m
p03,carrier,2,pollito,hit,j,49.26,m
p03,carrier,2,pollito,hit,i,109.02,m
p03,carrier,2,portillo,hit,j,51.81,m
p03,carrier,2,portillo,hit,o,85.14,m
p03,carrier,2,poyo,hit,j,64.67,m
p03,carrier,2,poyo,hit,o,84.63,m
p03,carrier,2,principe,hit,i,58.6,m
p03,carrier,2,profeta,hit,e,88.96,m
p03,carrier,2,programa,hit,a,127.36,m
p03,carrier,2,puerta,hit,u,62.52,m
p03,carrier,2,puerta,hit,e,51.94,m
p03,carrier,2,refran,hit,a,170.48,m
p03,carrier,2,relleno,hit,j,57.77,m
p03,carrier,2,relleno,hit,e,103.41,m
p03,carrier,2,reloj,hit,o,155.67,m
p03,carrier,2,rollizo,hit,j,75.9,m
p03,carrier,2,rollizo,hit,i,136.29,m
p03,carrier,2,ropa,hit,o,112.17,m
p03,carrier,2,rueda,hit,u,87.68,m
p03,carrier,2,rueda,hit,e,87.81,m
p03,carrier,2,sella,hit,j,60.29,m
p03,carrier,2,sella,hit,a,97.64,m
p03,carrier,2,sellito,hit,j,56.95,m
p03,carrier,2,sellito,hit,i,87.49,m
p03,carrier,2,sencillez,hit,j,87.55,m
p03,carrier,2,sencillez,hit,e,107.89,m
p03,carrier,2,silla,hit,j,58.28,m
p03,carrier,2,silla,hit,a,72.43,m
p03,carrier,2,silleta,hit,j,72.03,m
p03,carrier,2,silleta,hit,e,85.57,m
p03,carrier,2,sol,hit,o,166.11,m
p03,carrier,2,taco,hit,a,100.1,m
p03,carrier,2,teclado,hit,o,128.69,m
p03,carrier,2,toalla,hit,j,65,m
p03,carrier,2,toalla,hit,a,82.42,m
p03,carrier,2,toller,hit,j,71.3,m
p03,carrier,2,toller,hit,e,140.84,m
p03,carrier,2,traje,hit,a,126.63,m
