participant,item,is_palatal,glide,dur,dur_std,palatal_sum,glide_sum
p08,lakakuaisto,other,u,149.72,0.8969178418316998,-1,-1
p08,lakapuaisto,other,u,80.22,-0.38139946606836794,-1,-1
p08,lakatuaisto,other,u,161.28,1.1095415552032795,-1,-1
p08,lliape,palatal,i,143.92,0.7902381240501112,1,1
p08,manhiala,palatal,i,87.55,-0.24657837445818817,1,1
p08,mebochiana,palatal,i,144.91,0.8084472482921411,1,1
p08,nhiape,palatal,i,190.45,1.6460669634255092,1,1
p08,pachialo,palatal,i,73.95,-0.4967239196012229,1,1
p08,palufauto,other,u,91.66,-0.17098291927157985,-1,-1
p08,rausto,other,u,110.2,0.1700243165337045,-1,-1
