prefix,syll1Lab,syll1Dur,syll2Lab,syll2Dur,syll3Lab,syll3Dur,syll4Lab,syll4Dur,syll5Lab,syll5Dur,critOnsetLab,critOnsetDur,labID
p06_syllable_1_lakagiaisto_hit,la,0.8,ka,0.54,gia,0.79,is,0.65,to,0.32,g,0.27,extra
p06_syllable_1_lakaguaisto_hit,la,0.68,ka,0.81,gu,0.89,a,0.54,is,0.47,NA,0,extra
p06_syllable_1_lakakiaisto_hit,la,0.72,ka,0.61,kia,0.74,is,0.51,to,0.29,k,0.18,extra
p06_syllable_1_lakakuaisto_hit,la,0.61,ka,0.49,ku,0.52,a,0.48,is,0.53,NA,0,extra
p06_syllable_1_lakapiaisto_hit,la,0.57,ka,0.47,pia,0.72,is,0.68,to,0.33,p,0.14,extra
p06_syllable_1_lakapuaisto_hit,la,0.76,ka,0.58,pu,0.89,a,0.61,is,0.47,NA,0,extra
p06_syllable_1_lakatiaisto_hit,la,0.67,ka,0.58,pia,0.58,is,0.48,to,0.29,p,0.09,extra
p06_syllable_1_lakatuaisto_hit,la,0.57,ka,0.46,tu,0.58,a,0.55,is,0.62,NA,0,extra
p06_syllable_1_liamo_hit,li,0.56,a,0.48,NA,0.41,NA,0,NA,0,NA,0,extra
p06_syllable_1_lifro_hit,li,0.6,fro,0.5,NA,0,NA,0,NA,0,l,0.17,NA
p06_syllable_1_lliape_hit,lli,0.55,lla,0.5,pe,0.39,NA,0,NA,0,ll,0.11,extra
p06_syllable_1_manhiala_hit,ma,0.66,nhi,0.76,a,0.54,la,0.42,NA,0,nh,0.2,extra
p06_syllable_1_matio_hit,ma,0.65,ti,0.64,o,0.4,NA,0,NA,0,t,0.11,extra
p06_syllable_1_mebochiana_hit,me,0.78,bo,0.73,shi,0.71,a,0.59,na,0.47,NA,0,extra
p06_syllable_1_nhiape_hit,nhi,0.66,a,0.48,pe,0.39,NA,0,NA,0,NA,0,extra
p06_syllable_1_pachialo_hit,pa,0.35,shi,0.56,a,0.52,lo,0.28,NA,0,NA,0,extra
p06_syllable_1_palufago_hit,pa,0.49,lu,0.52,fa,0.62,go,0.35,NA,0,f,0.2,NA
p06_syllable_1_palufasti_hit,fa,0.62,lu,0.52,fa,0.73,s,0.32,ti,0.31,NA,0,extra
p06_syllable_1_palufauro_hit,pa,0.59,lu,0.56,fau,0.82,ro,0.4,NA,0,f,0.18,NA
p06_syllable_1_palufauto_hit,pa,0.65,lu,0.67,fau,0.77,to,0.29,NA,0,f,0.17,NA
p06_syllable_1_paluguato_hit,pa,0.59,lu,0.68,gua,0.69,to,0.32,NA,0,w,0.25,NA
p06_syllable_1_palumaisto_hit,pa,0.64,lu,0.64,ma,0.66,is,0.65,to,0.25,NA,0,extra
p06_syllable_1_paluparo_hit,pa,0.55,lu,0.49,pa,0.51,ro,0.32,NA,0,p,0.07,NA
p06_syllable_1_palutarlo_hit,pa,0.48,lu,0.47,tar,0.68,lo,0.31,NA,0,t,0.07,NA
p06_syllable_1_palutrauco_hit,pa,0.43,lu,0.58,tra,0.55,u,0.34,co,0.25,NA,0,extra
p06_syllable_1_payielo_hit,pa,0.44,yi,0.63,e,0.5,lo,0.39,NA,0,NA,0,extra
p06_syllable_1_polafo_hit,po,0.43,la,0.51,fo,0.25,NA,0,NA,0,l,0.1,NA
p06_syllable_1_rausto_hit,ra,0.61,us,0.71,to,0.23,NA,0,NA,0,NA,0,extra
p06_syllable_1_ruyiola_hit,ru,0.36,yi,0.65,o,0.44,la,0.34,NA,0,NA,0,extra
p06_syllable_1_tuliafo_hit,tu,0.4,li,0.41,a,0.48,fo,0.34,NA,0,NA,0,extra
p07_syllable_1_chiaba_hit,chia,0.53,ba,0.4,NA,0,NA,0,NA,0,ch,0.11,NA
p07_syllable_1_costonhialo_hit,cos,0.63,to,0.36,nhia,0.58,lo,0.3,NA,0,nh,0.21,NA
p07_syllable_1_crobo_hit,cro,0.39,bo,0.29,NA,0,NA,0,NA,0,cr,0.09,NA
